stage,river,norm,n,baseline,change,change_pct
Age 00,Puyallup,ww,15922.535916318653,15488.04963027293,0.028053001921977083,2.805%
Age 00,Puyallup,lw,20044.622612244522,15488.04963027293,0.294199275618624,29.420%
Age 00,Puyallup,lw1,21389.637924940027,15488.04963027293,0.38104141163984,38.104%
Age 00,White,ww,7305.23412629848,7129.011534079309,0.024719078006363457,2.472%
Age 00,White,lw,8992.718863835971,7129.011534079309,0.2614257700169865,26.143%
Age 00,White,lw1,9548.073332460839,7129.011534079309,0.33932639704922907,33.933%
Age 00,Puyallup/White,ww,23227.770042617132,22617.06116435224,0.027002132320686285,2.700%
Age 00,Puyallup/White,lw,29037.341476080495,22617.06116435224,0.28386890167001655,28.387%
Age 00,Puyallup/White,lw1,30937.711257400868,22617.06116435224,0.3678926290460397,36.789%
Spawners,Puyallup,ww,1959.5667048959187,1906.293459900774,0.027945983195010144,2.795%
Spawners,Puyallup,lw,2464.4244584064922,1906.293459900774,0.29278335694167995,29.278%
Spawners,Puyallup,lw1,2628.9520504520274,1906.293459900774,0.3790909457292421,37.909%
Spawners,White,ww,1460.15861934565,1427.7370477769675,0.022708363293621896,2.271%
Spawners,White,lw,1766.4611243871207,1427.7370477769675,0.2372454207429564,23.725%
Spawners,White,lw1,1865.8697070214596,1427.7370477769675,0.3068720951989575,30.687%
Spawners,Puyallup/White,ww,3419.725324241569,3334.0305076777413,0.02570306911304083,2.570%
Spawners,Puyallup/White,lw,4230.885582793613,3334.0305076777413,0.2690002605106814,26.900%
Spawners,Puyallup/White,lw1,4494.821757473487,3334.0305076777413,0.34816455552000153,34.816%
