concentration,effect,endpoint
0.14,26,Growth
2.1,12,Growth
2.85,12.5,Growth
3,16.9,Growth
3.5,4.1,Growth
6.65,26,Growth
14.33,39,Growth
36,20,Growth
43,25,Growth
50,33,Growth
50,18,Growth
60,50,Growth
71,23,Growth
120,66,Growth
120,11,Growth
150,39,Growth
260,30,Growth
0.75,57,Mortality
1.53,32,Mortality
2.1,44,Mortality
2.7,18,Mortality
5.1,22,Mortality
5.1,30,Mortality
6,5.8,Mortality
6.6,13,Mortality
14,66,Mortality
14.25,54,Mortality
15,28,Mortality
17.2,50,Mortality
46,51,Mortality
77.9,92,Mortality
106,47,Mortality
120,44,Mortality
120,31,Mortality
125,18,Mortality
138,25,Mortality
170,83,Mortality
200,82,Mortality
250,50,Mortality
260,69,Mortality
300,95,Mortality
365,91,Mortality
645,100,Mortality
795,100,Mortality
1100,88,Mortality
2950,100,Mortality
