region,hatchery,survival_pct,release_date,release_mass,july_n,july_fl,july_fl_se,july_mass,september_n,september_fl,september_fl_se,september_mass
Central,SC,0.5,"May 9, 1997",6.2,15,119.5,4.8,16.2,6,153.5,5.3,35.9
Central,GC,1.21,"April 30, 1997",7.1,21,144.8,3.8,29.8,6,166.3,4.9,46.4
Central,WH,0.1,"June 5, 1997",5.5,7,98.6,2.4,8.8,10,143.8,3,29.2
South,HS,0.4,"May 29, 1997",9.4,24,123.9,1.5,18.2,21,156.4,2.6,38.2
South,NR,1.52,"May 6, 1997",11.1,16,150.3,3.1,33.6,4,203.8,17.4,88.5
North,BG,0.55,"May 24, 1999",5.82,5,122.4,3.9,17.5,3,167,8.7,47
Central,SC,1.12,"May 5, 1999",5.7,20,126.1,2.4,19.2,10,158.6,4.4,39.9
Central,GC,1.89,"April 15, 1999",9.1,16,153.7,4.1,36.1,6,211.8,10.5,100.1
South,KC,1.04,"May 18, 1999",8.4,5,132.4,5.4,22.5,6,156,4,37.8
South,NR,0.73,"May 7, 1999",8.7,9,136.4,3.1,24.7,3,156.7,4.3,38.4
South,NR,0.9,"May 11, 1999",9.1,7,131.3,3.8,21.9,3,173.3,3.8,52.9
North,BG,0.72,"May 8, 2001",5.7,4,123.5,3.1,18,1,148,,32
North,WR,0.28,"June 29, 2001",7.8,13,106.6,2,11.3,9,142,2.1,28.1
Central,SC,0.33,"May 18, 2001",6,13,115.6,2.9,14.6,19,144.8,9.6,29.8
Central,GC,0.63,"May 11, 2001",5.2,8,134.4,1.8,23.5,7,152.1,1.7,34.9
Central,PT,0.14,"June 12, 2001",6.8,2,106.5,1.5,11.2,3,148.7,7.2,32.5
Central,PT,0.38,"June 15, 2001",8.4,1,114,,14,8,141.8,3,27.9
Central,WR,0.32,"May 25, 2001",7.1,10,117.7,2.3,15.4,14,147.2,2,31.5
South,HS,0.38,"May 25, 2001",9.1,3,124.7,3.2,18.5,6,159,4.8,40.2
South,KC,0.76,"May 16, 2001",8.6,3,128.3,5.9,20.3,3,147.7,3.2,31.8
South,NR,1.04,"May 8, 2001",8.4,14,143.1,2.4,28.8,8,154.6,5.6,36.8
North,BG,0.5,"May 14, 2002",5.7,8,117.4,1.7,15.3,2,173.5,26.5,53.1
North,WR,0.18,"June 15, 2002",6.3,10,95.2,1.3,7.9,7,141.6,3,27.8
Central,SC,0.13,"June 3, 2002",6.1,13,95.1,1.2,7.8,1,158,,39.4
Central,GC,0.46,"May 20, 2002",6.8,39,117.4,1.3,15.3,7,161.1,6.6,42
Central,GO,0.21,"May 20, 2002",6.7,11,106.4,2.1,11.2,6,144.5,6.4,29.7
Central,WH,0.19,"May 29, 2002",5,11,98.7,2.1,8.8,3,150.3,6.6,33.6
Central,WH,0.33,"May 17, 2002",11.1,9,124.8,2.5,18.6,4,154.5,8.5,36.7
South,HS,0.22,"June 3, 2002",9.4,21,114,1.1,14,5,160.2,17.4,41.2
South,KC,0.46,"May 23, 2002",7.2,9,113,2.5,13.6,3,159.3,9.9,40.5
South,NR,0.35,"May 7, 2002",8.1,52,119.9,0.9,16.4,7,168.6,8.3,48.4
