SAMPLE_ID,Study_ID,Latitude,Longitude,Species,RiverSystem,COMPOUND,UNIT,CONC_FOUND (ng/g ww),Sampling Date,% Lipids,pcb_uggwet,pcb_ugglw_sample,pcb_ugglw_1,effect-mort ww,effect-mort lipid-sample specific,effect-mort lipid - 1%,Composite_Count
21CBW02-TW_W3552,WDFW_LEGACY 2021,47.2781,-122.47245,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),110,4/23/2021,0.72,0.11,15.27777778,11,-4.165221658,13.63773017,10.48477834,1
21WHY03-TW_W02,WDFW_LEGACY 2021,47.27708,-122.39553,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),170,4/14/2021,1.2,0.17,14.16666667,17,0.012921162,12.91301562,14.66292116,2
13HYLR-TW1506,WDFW_LEGACY 2013,47.281161,-122.397017,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),170,8/14/2013,1.219557318,0.17,13.93948423,17,0.012921162,12.75785218,14.66292116,1
21WHY03-TW_W01,WDFW_LEGACY 2021,47.27708,-122.39553,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),120,4/14/2021,1.1,0.12,10.90909091,12,-3.330094462,10.4051272,11.31990554,3
21WHY02-TW_H01,WDFW_LEGACY 2021,47.271593,-122.378963,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),73,6/22/2021,0.71,0.073,10.28169014,7.3,-8.100564791,9.836625702,6.549435209,4
13HYLR-TW1507,WDFW_LEGACY 2013,47.281161,-122.397017,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),73,8/14/2013,0.774953481,0.073,9.419920271,7.3,-8.100564791,8.996443716,6.549435209,1
21CBE02-TW_W01,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),50,4/29/2021,0.71,0.05,7.042253521,5,-11.7327629,6.204427589,2.917237096,4
16PU-TW_Dfp06r2,WDFW_LEGACY 2016,47.286933,-122.4087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),58,6/14/2016,0.909869924,0.058,6.374537556,5.8,-10.30824134,5.248315919,4.341758658,6
13HYLR-TW1508,WDFW_LEGACY 2013,47.281161,-122.397017,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),95,8/14/2013,1.597418065,0.095,5.947096885,9.5,-5.572308323,4.582140804,9.077691677,1
21WHY02-TW_H02,WDFW_LEGACY 2021,47.27063867,-122.3764953,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),51,6/28/2021,1.1,0.051,4.636363636,5.1,-11.54269911,2.19252255,3.107300892,3
21WBL01-TW_W01,WDFW_LEGACY 2021,47.25632,-122.38271,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),52,4/14/2021,1.2,0.052,4.333333333,5.2,-11.35632611,1.543768357,3.293673894,6
21WBL03-TW_W01,WDFW_LEGACY 2021,47.26985,-122.40298,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),49,4/14/2021,1.4,0.049,3.5,4.9,-11.92666663,-0.50609622,2.723333369,7
21WHY03-TW_H3528,WDFW_LEGACY 2021,47.27708,-122.39553,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),62,4/14/2021,1.9,0.062,3.263157895,6.2,-9.668143662,-1.178598243,4.981856338,1
21CBE02-TW_W3555,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),41,4/29/2021,1.3,0.041,3.153846154,4.1,-13.63747677,-1.505624852,1.012523234,1
21WMD01-TW_W02,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),38,4/23/2021,1.3,0.038,2.923076923,3.8,-14.36678251,-2.234930601,0.283217485,4
13HYLE2-TW05,WDFW_LEGACY 2013,47.27186,-122.45245,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),26,6/13/2013,0.938657948,0.026,2.769912091,2.6,-18.00908901,-2.751501708,-3.35908901,8
16PU-TW_Dfp03r1,WDFW_LEGACY 2016,47.2601139,-122.4288639,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),36,4/12/2016,1.354667795,0.036,2.657478101,3.6,-14.88571473,-3.149219753,-0.235714733,5
21WBL02-TW_W01,WDFW_LEGACY 2021,47.263212,-122.385229,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),27,6/22/2021,1.1,0.027,2.454545455,2.7,-17.64686081,-3.911639154,-2.996860812,3
21WMD01-TW_W03,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),29,4/23/2021,1.2,0.029,2.416666667,2.9,-16.96100425,-4.060909784,-2.311004246,3
13HYLE1-TW04,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),33,6/12/2013,1.389916085,0.033,2.374244054,3.3,-15.72084193,-4.230889564,-1.070841929,6
21RW02-TW_W04,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),41,5/7/2021,1.8,0.041,2.277777778,4.1,-13.63747677,-4.628999129,1.012523234,3
13HYLR-TW01,WDFW_LEGACY 2013,47.27474,-122.38518,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),46,6/13/2013,2.112151551,0.046,2.177874025,4.6,-12.53305192,-5.059476109,2.11694808,5
13HYLE2-TW04,WDFW_LEGACY 2013,47.27186,-122.45245,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),19,6/13/2013,0.928538219,0.019,2.046227028,1.9,-21.01954542,-5.65792065,-6.369545419,8
16PU-TW_Dfp06r1,WDFW_LEGACY 2016,47.286933,-122.4087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),31,4/19/2016,1.547986559,0.031,2.002601367,3.1,-16.32090657,-5.864761365,-1.670906566,5
21WBL02-TW_H01,WDFW_LEGACY 2021,47.263212,-122.385229,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,6/22/2021,1.2,0.024,2,2.4,-18.77733156,-5.877237096,-4.127331558,4
13HYLE2-TW03,WDFW_LEGACY 2013,47.27186,-122.45245,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,6/13/2013,0.819513933,0.016,1.952376813,1.6,-22.66894838,-6.10854353,-8.018948383,7
