SAMPLE_ID,Study_ID,Species,RiverSystem,COMPOUND,UNIT,Max of CONC_FOUND,PERCENT_LIPID_CONTENT,SAMPLE_LOCATION
13HYLR-TW1506,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),170,1.219557318,PUYALLUP_Estuary
21WHY03-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),170,1.2,PUYALLUP_Estuary
21WHY03-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),120,1.1,PUYALLUP_Estuary
21CBW02-TW_W3552,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),110,0.72,PUYALLUP_Nearshore
13HYLR-TW1508,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),95,1.597418065,PUYALLUP_Estuary
13HYLR-TW1507,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),73,0.774953481,PUYALLUP_Estuary
21WHY02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),73,0.71,PUYALLUP_Estuary
16,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),63.6,#N/A,#N/A
21WHY03-TW_H3528,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),62,1.9,PUYALLUP_Estuary
16PU-TW_Dfp06r2,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),58,0.909869924,PUYALLUP_Estuary
21WBL01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),52,1.2,PUYALLUP_Estuary
