strata,time,n.risk,n.event,surv,std.err,lower,upper
Treatment=Control,3.15,363,1,0.997245179,0.002751024,0.991867822,1
Treatment=Control,3.89,362,1,0.994490358,0.003885158,0.986904668,1
Treatment=Control,3.91,361,1,0.991735537,0.004751732,0.982465906,1
Treatment=Control,3.93,360,1,0.988980716,0.005479202,0.978299774,0.999778272
Treatment=Control,4.9,359,4,0.977961433,0.007705472,0.962974999,0.993181094
Treatment=Control,4.91,355,4,0.966942149,0.009383919,0.94872382,0.985510324
Treatment=Control,4.92,351,7,0.947658402,0.011689504,0.92502213,0.970848608
Treatment=Control,5.13,344,2,0.94214876,0.012253574,0.918435719,0.966474047
Treatment=Control,5.14,342,2,0.936639118,0.012786257,0.911910804,0.962037992
Treatment=Control,5.9,340,6,0.920110193,0.014230242,0.89263791,0.948427977
Treatment=Control,5.91,334,7,0.900826446,0.015687914,0.870597534,0.932104967
Treatment=Control,6.12,327,2,0.895316804,0.016068434,0.864370722,0.927370814
Treatment=Control,6.13,325,1,0.892561983,0.016253424,0.861267637,0.924993417
Treatment=Control,6.88,324,12,0.859504132,0.01823906,0.824489433,0.896005848
Treatment=Control,6.89,312,7,0.840220386,0.019231093,0.80336107,0.878770858
Treatment=Control,7.13,305,7,0.820936639,0.020123563,0.78242766,0.861340927
Treatment=Control,7.89,297,2,0.815408446,0.020364177,0.77645649,0.856314479
Treatment=Control,7.9,295,4,0.804352061,0.020824899,0.764554298,0.846221438
Treatment=Control,8.11,291,1,0.801587964,0.020935972,0.76158679,0.843690138
Treatment=Control,8.9,290,1,0.798823868,0.021045454,0.758622396,0.841155725
Treatment=Control,8.91,289,11,0.768418807,0.022151299,0.726206779,0.813084482
Treatment=Control,9.12,278,2,0.762890614,0.022334185,0.720348604,0.80794505
Treatment=Control,9.15,276,2,0.757362421,0.022511831,0.714500683,0.802795365
Treatment=Control,9.89,274,6,0.740777843,0.023014522,0.697016104,0.787287136
Treatment=Control,9.9,268,1,0.738013746,0.023094038,0.694110355,0.784694085
Treatment=Control,10.14,267,1,0.73524965,0.023172369,0.691206924,0.782098716
Treatment=Control,10.16,266,2,0.729721457,0.023325523,0.685406923,0.776901119
Treatment=Control,10.86,264,2,0.724193264,0.023474077,0.67961592,0.771694524
Treatment=Control,10.87,262,1,0.721429168,0.023546657,0.67672374,0.769087906
Treatment=Control,10.88,261,1,0.718665071,0.023618119,0.673833746,0.766479102
Treatment=Control,14.9,257,1,0.715868709,0.023691184,0.670908738,0.763841608
Treatment=Control,14.91,253,2,0.710209668,0.023839447,0.664989046,0.758505386
Treatment=Dose1,3.9,297,4,0.986531987,0.006688506,0.97350947,0.999728704
Treatment=Dose1,3.93,293,5,0.96969697,0.009946787,0.950396291,0.989389607
Treatment=Dose1,4.13,288,2,0.962962963,0.010958338,0.941722767,0.984682224
Treatment=Dose1,4.15,286,2,0.956228956,0.011871242,0.933242539,0.979781546
