river,eff_type,wt_type,eff,.lower,.upper
Puyallup,Direct,Wet Weight,8.387212371157224e-4,3.654168668942414e-4,0.0017775051018922411
Puyallup,Direct,Lipid Weight,0.016876972284400847,0.011810041814422592,0.024230569819210707
Puyallup,Direct,1% Lipid Weight,0.020218138633946205,0.015549093930819779,0.026267937306459346
Puyallup,Growth,Wet Weight,0.009373563527415276,0.005435049151687889,0.015114426849221343
Puyallup,Growth,Lipid Weight,0.06662804025992997,0.0540032826950666,0.08191384213732843
Puyallup,Growth,1% Lipid Weight,0.09891455446637265,0.08686786193440171,0.111662264654589
White,Direct,Wet Weight,8.387212371157224e-4,3.654168668942414e-4,0.0017775051018922411
White,Direct,Lipid Weight,0.016876972284400847,0.011810041814422592,0.024230569819210707
White,Direct,1% Lipid Weight,0.020218138633946205,0.015549093930819779,0.026267937306459346
White,Growth,Wet Weight,0.009288120629628239,0.005385361136703835,0.014977164467093056
White,Growth,Lipid Weight,0.06603256401020127,0.05351895344448355,0.08118610700099592
White,Growth,1% Lipid Weight,0.09802513999466284,0.08608702224127789,0.11066089200584181
Stillaguamish,Direct,Wet Weight,4.419542375316856e-6,3.009199696900484e-9,3.539246426035199e-4
Stillaguamish,Direct,Lipid Weight,5.494495392491587e-4,3.317443614086264e-5,0.004834344728077276
Stillaguamish,Direct,1% Lipid Weight,0.0019510768296969244,3.088736227874802e-4,0.008610641667951
Stillaguamish,Growth,Wet Weight,1.0804990473283495e-4,6.553294241468588e-7,0.0026176324132712214
Stillaguamish,Growth,Lipid Weight,0.0055583319111665065,9.379730860151379e-4,0.01993849894942657
Stillaguamish,Growth,1% Lipid Weight,0.016314025512025793,0.006059872944916392,0.03502438273742534
