stage,river,norm,n,baseline,change
Age 00,Puyallup,ww,15922.535916318653,15488.04963027293,0.028053001921977083
Age 00,Puyallup,lw,20044.622612244522,15488.04963027293,0.294199275618624
Age 00,Puyallup,lw1,21389.637924940027,15488.04963027293,0.38104141163984
Age 00,White,ww,7305.23412629848,7129.011534079309,0.024719078006363457
Age 00,White,lw,8992.718863835971,7129.011534079309,0.2614257700169865
Age 00,White,lw1,9548.073332460839,7129.011534079309,0.33932639704922907
Spawners,Puyallup,ww,1959.5667048959187,1906.293459900774,0.027945983195010144
Spawners,Puyallup,lw,2464.4244584064922,1906.293459900774,0.29278335694167995
Spawners,Puyallup,lw1,2628.9520504520274,1906.293459900774,0.3790909457292421
Spawners,White,ww,1460.15861934565,1427.7370477769675,0.022708363293621896
Spawners,White,lw,1766.4611243871207,1427.7370477769675,0.2372454207429564
Spawners,White,lw1,1865.8697070214596,1427.7370477769675,0.3068720951989575
